"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Eubacterium sp. CAG:786",11,0,0,0,-0.0402250475752941
"Bacteroides sp. 43_108",11,0,0,0,0.0401552646843568
"Flavonifractor sp. An100",11,0,0,0,-0.0400091411339946
"Ligilactobacillus animalis",11,0,0,0,-0.0394398001831557
"Pseudomonas fragi",11,0,0,0,-0.0394226697671336
"Actinomyces oris",11,0,0,0,0.0384674963660274
"Abiotrophia sp. HMSC24B09",11,0,0,0,0.0384094479846521
"Clostridium butyricum",11,0,0,0,0.0383078542098314
"Ruminococcus sp. CAG:624",11,0,0,0,0.03807880137714
"Criibacterium bergeronii",11,0,0,0,0.0377580046494416
"Leuconostoc pseudomesenteroides",11,0,0,0,-0.0371466585333325
"Porphyromonas gingivalis",11,0,0,0,0.037111335722998
"Actinomyces sp. oral taxon 170",11,0,0,0,-0.0365502694383947
"Tractidigestivibacter scatoligenes",11,0,0,0,0.0365120176627445
"Lactobacillus helveticus",11,0,0,0,0.036432987183868
"Haemophilus sputorum",11,0,0,0,-0.0362478653773517
"Parabacteroides sp. CAG:409",11,0,0,0,0.0362094900988526
"Gemmiger sp. An87",11,0,0,0,-0.0360267552136674
"Sharpea azabuensis",11,0,0,0,0.0360084257693245
"Streptococcus sp. A12",11,0,0,0,-0.0358208107570069
"Clostridioides difficile",11,0,0,0,0.035683264183909
"Anaerostipes caccae",11,0,0,0,-0.035526192567187
"Streptococcus mutans",11,0,0,0,-0.0354320720345545
"Bacteroides faecis CAG:32",11,0,0,0,-0.0347612298738443
"Limosilactobacillus panis",11,0,0,0,0.0342378967897974
"Prevotella sp. F0091",11,0,0,0,0.034105870568766
"Streptococcus sobrinus",11,0,0,0,0.0339887056693329
"Kluyvera georgiana",11,0,0,0,0.0338696536755652
"Prevotella sp. CAG:485",11,0,0,0,-0.0334961381443567
"Flavobacterium sp. FEMGT703F",11,0,0,0,0.0334174384701895
"Neisseria flavescens",11,0,0,0,0.033237846955155
"Peptoniphilus coxii",11,0,0,0,0.0329691965347837
"Coprobacter secundus",11,0,0,0,0.0327207642984234
"Actinomyces viscosus",11,0,0,0,0.0325958339625739
"Lawsonella clevelandensis",11,0,0,0,0.0325626916033546
"Peptostreptococcus sp. MV1",11,0,0,0,0.0324801828376549
"Enterobacter mori",11,0,0,0,0.032346365998022
"Saccharomyces cerevisiae",11,0,0,0,-0.0320857495971635
"Stomatobaculum longum",11,0,0,0,0.0318250570439833
"Bacteroides sp. CAG:443",11,0,0,0,0.0315841254403649
"Lactococcus petauri",11,0,0,0,0.0315126702600727
"Corynebacterium variabile",11,0,0,0,-0.0315051179321081
"Citrobacter amalonaticus",11,0,0,0,0.0312623250416918
"Campylobacter showae",11,0,0,0,0.0309952299714917
"Phocaeicola massiliensis",11,0,0,0,-0.0307886210240167
"Aeromonas caviae",11,0,0,0,0.0307616169878223
"Neisseria sicca",11,0,0,0,0.0306709662318965
"Ruminococcus obeum CAG:39",11,0,0,0,0.0306463989257959
"Weissella cibaria",11,0,0,0,-0.0305352087735553
